iso2,market,score,rank_among_48,yoy_pp_change,source_url,include_in_app
AR,Argentina,26,39,-6,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/argentina,yes
AT,Austria,39,18,-2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/austria,yes
AU,Australia,43,14,,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/australia,yes
BE,Belgium,39,18,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/belgium,yes
BG,Bulgaria,21,45,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/bulgaria,yes
BR,Brazil,36,23,-6,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/brazil,yes
CA,Canada,37,22,-2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/canada,yes
CH,Switzerland,42,15,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/switzerland,yes
CL,Chile,34,24,-2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/chile,yes
CO,Colombia,25,40,-7,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/colombia,yes
CZ,Czech Republic,31,29,-2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/czech-republic,yes
DE,Germany,46,12,1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/germany,yes
DK,Denmark,55,4,-1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/denmark,yes
ES,Spain,33,25,2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/spain,yes
FI,Finland,63,3,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/finland,yes
FR,France,29,34,,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/france,yes
GB,United Kingdom,30,31,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/united-kingdom,yes
GR,Greece,18,47,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/greece,yes
HK,Hong Kong,52,6,,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/hong-kong,no
HR,Croatia,29,34,-7,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/croatia,yes
HU,Hungary,17,48,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/hungary,yes
ID,Indonesia,32,26,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/indonesia,yes
IE,Ireland,42,15,-9,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/ireland,yes
IN,India,39,18,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/india,yes
IT,Italy,32,26,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/italy,yes
JP,Japan,41,17,2,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/japan,yes
KE,Kenya,68,1,3,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/kenya,yes
KR,South Korea,30,31,-1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/south-korea,yes
MA,Morocco,28,36,,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/morocco,yes
MX,Mexico,31,29,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/mexico,yes
MY,Malaysia,30,31,-7,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/malaysia,yes
NG,Nigeria,68,1,,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/nigeria,yes
NL,Netherlands,49,10,-1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/netherlands,yes
NO,Norway,53,5,-1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/norway,yes
PE,Peru,32,26,-8,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/peru,yes
PH,Philippines,28,36,-10,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/philippines,yes
PL,Poland,39,18,-8,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/poland,yes
PT,Portugal,51,8,-3,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/portugal,yes
RO,Romania,23,43,-3,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/romania,yes
RS,Serbia,22,44,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/serbia,yes
SE,Sweden,52,6,-1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/sweden,yes
SG,Singapore,46,12,1,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/singapore,yes
SK,Slovakia,19,46,-4,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/slovakia,yes
TH,Thailand,47,11,-8,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/thailand,yes
TR,Turkey,28,36,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/turkey,yes
TW,Taiwan,25,40,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/taiwan,no
US,United States,25,40,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/united-states,yes
ZA,South Africa,50,9,-5,https://reutersinstitute.politics.ox.ac.uk/digital-news-report/2026/south-africa,yes
