rank,economy,score,rank_change
1,Switzerland,100.00,1
2,Singapore,99.44,-1
3,Hong Kong SAR,99.22,2
4,Denmark,97.51,-1
5,UAE,96.09,2
6,Taiwan (Chinese Taipei),93.71,2
7,Ireland,91.31,-3
8,Sweden,90.20,-2
9,Qatar,89.93,2
10,Netherlands,89.75,-1
11,Canada,88.73,8
12,Norway,86.17,-2
13,USA,84.27,-1
14,Finland,83.83,1
15,Iceland,83.49,2
16,China,82.13,-2
17,Saudi Arabia,82.09,-1
18,Australia,78.36,-5
19,Germany,78.24,5
20,Luxembourg,78.17,3
21,Lithuania,77.68,9
22,Bahrain,76.56,-1
23,Malaysia,74.81,11
24,Belgium,74.57,-6
25,Czech Republic,73.66,4
26,Austria,73.55,0
27,Korea Rep.,73.39,-7
28,Oman,72.86,
29,United Kingdom,71.95,-1
30,Thailand,71.32,-5
31,New Zealand,70.23,1
32,France,69.93,-1
33,Estonia,69.65,0
34,Kazakhstan,68.99,1
35,Japan,68.74,3
36,Kuwait,68.69,1
37,Portugal,67.84,-1
38,Latvia,67.03,7
39,Spain,65.80,1
40,Indonesia,64.32,-13
41,India,64.19,-2
42,Chile,62.52,2
43,Italy,62.50,-1
44,Cyprus,61.80,-1
45,Puerto Rico,61.03,4
46,Slovenia,59.14,0
47,Jordan,57.79,1
48,Hungary,56.71,6
49,Romania,56.64,1
50,Greece,55.33,-3
51,Philippines,54.88,1
52,Poland,53.91,-11
53,Croatia,51.19,-2
54,Colombia,49.66,3
55,Mexico,48.84,1
56,Kenya,48.29,
57,Bulgaria,47.96,1
58,Brazil,46.41,4
59,Botswana,46.12,-4
60,Peru,45.89,3
61,Ghana,44.25,4
62,Argentina,42.84,4
63,Slovak Republic,42.79,-4
64,South Africa,41.98,-4
65,Mongolia,40.91,-4
66,Türkiye,40.41,-13
67,Nigeria,39.73,-3
68,Namibia,37.48,
69,Venezuela,25.47,-2
